"Unnamed Access","Unnamed Access"
后台活动管理,后台活动管理
"fas fa-history","fas fa-history"
查看管理员在后台的操作,查看管理员在后台的操作
后台活动历史,后台活动历史
查看后台活动历史,查看后台活动历史
删除日志,删除日志
"fas fa-trash","fas fa-trash"
后台活动详情,后台活动详情
"fas fa-eye","fas fa-eye"
查看后台活动详情,查看后台活动详情
管理员访问日志,"Admin Access Log"
管理员访问日志，协助管理员了解用户访问情况，帮助管理员快速定位问题。,"Admin access log to help administrators understand user access patterns and quickly locate issues."
删除,Delete
记录ID,"Record ID"
请求ID,"Request ID"
操作人,Operator
操作名,"Operation name"
业务对象,业务对象
业务动作,业务动作
业务数据,业务数据
主机,Host
路径,Path
模块,Module.
URL,URL
请求方式,"Request method"
请求参数,"Request parameters"
请求数据,"Request data"
IP地址,"IP address"
用户代理,"User agent"
响应代码,"Response code"
响应时间,"Response Time"
请求时间,"Request time"
操作,Operation
复制成功,"Copied successfully"
查看数据,"View Data"
查看日志数据,"View Log Data"
"""Unnamed Access""","Unnamed Access"
